"Step","20-agents - total_rewards","20-agents - total_rewards__MIN","20-agents - total_rewards__MAX","15-agents - total_rewards","15-agents - total_rewards__MIN","15-agents - total_rewards__MAX","10-agents - total_rewards","10-agents - total_rewards__MIN","10-agents - total_rewards__MAX","5-agents - total_rewards","5-agents - total_rewards__MIN","5-agents - total_rewards__MAX","1-agent - total_rewards","1-agent - total_rewards__MIN","1-agent - total_rewards__MAX"
"133","3.5779999999999994","3.5779999999999994","3.5779999999999994","4.9916","4.9916","4.9916","2.5608","2.5608","2.5608","1.5131999999999999","1.5131999999999999","1.5131999999999999","0","0","0"
"134","5.5600000000000005","5.5600000000000005","5.5600000000000005","5.0855999999999995","5.0855999999999995","5.0855999999999995","2.2036","2.2036","2.2036","0.9712","0.9712","0.9712","0","0","0"
"135","2.0496","2.0496","2.0496","7.477200000000002","7.477200000000002","7.477200000000002","4.3296","4.3296","4.3296","0","0","0","0","0","0"
"136","2.9148","2.9148","2.9148","2.9227999999999996","2.9227999999999996","2.9227999999999996","3.6635999999999997","3.6635999999999997","3.6635999999999997","0.8812","0.8812","0.8812","0","0","0"
"137","3.7096","3.7096","3.7096","2.0668","2.0668","2.0668","2.3952","2.3952","2.3952","0","0","0","0","0","0"
"138","6.1739999999999995","6.1739999999999995","6.1739999999999995","1.8192","1.8192","1.8192","1.6507999999999998","1.6507999999999998","1.6507999999999998","0.49959999999999993","0.49959999999999993","0.49959999999999993","0","0","0"
"139","4.0236","4.0236","4.0236","0.5716","0.5716","0.5716","2.1252","2.1252","2.1252","1.8308","1.8308","1.8308","0","0","0"
"140","2.7984","2.7984","2.7984","3.6068","3.6068","3.6068","0.8452","0.8452","0.8452","0.31599999999999995","0.31599999999999995","0.31599999999999995","0","0","0"
"141","5.720400000000001","5.720400000000001","5.720400000000001","4.912","4.912","4.912","2.9848","2.9848","2.9848","0.8452","0.8452","0.8452","0","0","0"
"142","2.3411999999999997","2.3411999999999997","2.3411999999999997","2.7248","2.7248","2.7248","2.4744","2.4744","2.4744","1.1072","1.1072","1.1072","0","0","0"
